year,geo_code,geo_level,FSA,GNR,GNR_LF,data_quality_flag,alt_geo_code,pop_2016,num_private_dwellings,num_dwellings_occupied,pct_age_0_14,pct_age_15_64,pct_age_64_plus,median_age,avg_household_size,avg_census_family_size,median_income_recipients,median_income_household,pct_LIM_AT,pct_LIM_AT_age_under18,pct_LIM_AT_age_under6,pct_LIM_AT_age_18_64,pct_LIM_AT_age_65_plus,pct_participation_rate,pct_employed,pct_unemployed,pct_cdn_citizens,pct_immigrants,pct_aboriginal,pct_visible_minority,pct_home_owners,pct_home_rent,pct_education_none,pct_education_uni_higher,pct_non_movers
2016,T5L,2,T5L,5.4,6.1,101,01T5L,17124,6841,6461,16.6,68.6,14.8,39.3,2.5,2.9,38824,79574,11.4,20.9,21.8,9,8.7,69,62,10.2,0.903324184,0.218730933,0.108297743,0.246491763,0.647241647,0.353535354,0.163426169,0.967845659,0.83539604
2016,T5M,2,T5M,8.6,7.8,101,01T5M,15261,7342,6658,14.7,70.8,14.5,38.9,2.1,2.8,39031,66816,14.6,20.1,20.5,13.4,13.3,74,66.5,10.2,0.859649123,0.237276237,0.081081081,0.258687259,0.440538519,0.559461481,0.103139013,3.070652174,0.80491278
2016,T5N,2,T5N,3.9,6.2,1,01T5N,14579,7670,6912,13.6,72.1,14.2,39,2.1,2.8,49461,83825,9.5,9.8,11.5,9.6,9.2,73.2,67.6,7.6,0.91433506,0.190739461,0.047668394,0.168624741,0.575560376,0.424439624,0.057471264,8.06,0.827513966
2016,T5P,2,T5P,5.6,7.3,101,01T5P,21557,10130,9251,15.1,71.1,13.8,39.2,2.3,2.8,34208,63206,15.7,23.7,26,13.8,14.9,68.7,61.3,10.7,0.829078014,0.302364066,0.098817967,0.343735225,0.448051948,0.552489177,0.173895742,1.009153318,0.780248685
2016,T5R,2,T5R,5.4,6,1,01T5R,25867,10211,9848,15.6,65.9,18.5,41.6,2.5,2.9,42934,93104,8.8,13,14.6,8.3,5.9,69.1,64.2,7.2,0.879642785,0.219809215,0.057247259,0.228786033,0.687468031,0.313043478,0.074891462,4.821256039,0.849958949
2016,T5S,2,T5S,6.6,4.7,100,01T5S,4843,2086,1964,16.1,73,11,36,2.3,2.7,51797,99986,6.1,9.6,6,4.8,8,75.4,70.6,6.4,0.951648352,0.121978022,0.071350165,0.108791209,0.924050633,0.073417722,0.123478261,1.704225352,0.786995516
2016,T5T,2,T5T,3.5,5.1,0,01T5T,69914,27047,25910,19.2,69.5,11.3,35.8,2.7,3,42745,92226,9.5,15.8,16.3,7.8,6.7,73.5,67.7,7.9,0.860981392,0.326101013,0.063577586,0.37093182,0.695551704,0.304448296,0.090566038,3.352777778,0.815714598
2016,T5V,2,T5V,6.2,7.8,909,01T5V,146,52,49,17.2,72.4,10.3,40.5,2.8,2.9,NA,108416,NA,NA,NA,NA,NA,75,58.3,22.2,1.038461538,0.074074074,0,0,1.125,0,0.142857143,1,0.884615385
2016,T5W,2,T5W,4.2,5.5,1,01T5W,20652,8971,8414,17.7,68.1,14.2,39,2.4,2.8,37418,74406,15.6,30,32,12.2,9.8,65.3,57.7,11.7,0.920968926,0.203572302,0.101541473,0.22485931,0.652406417,0.347593583,0.179245283,0.964114833,0.837503096
2016,T5X,2,T5X,4.5,5.2,0,01T5X,41912,15073,14662,20.4,66.9,12.7,35.6,2.8,3.1,40615,90458,13.2,24.3,27.1,10.3,5.8,68.2,62.2,8.7,0.902970538,0.303384466,0.057455873,0.388239591,0.741979522,0.257679181,0.138094165,1.425774878,0.851521901
2016,T5Y,2,T5Y,3.6,4.7,0,01T5Y,45947,17081,16083,21,71.9,7,32.7,2.8,3.1,43233,96940,8.8,13.9,15.3,7.2,7.3,75.8,68.6,9.5,0.888170157,0.317837956,0.062054599,0.409933121,0.731092437,0.268907563,0.125709958,1.695783133,0.822539293
2016,T5Z,2,T5Z,3,4.8,0,01T5Z,30715,10503,9920,18.8,71.5,9.7,35.9,3.1,3.2,42538,112293,7,11.4,12.6,5.5,6.8,73.1,67.6,7.4,0.935150222,0.358292282,0.027581678,0.494992612,0.891633065,0.108366935,0.138944941,1.508298755,0.874604496
2016,T6A,2,T6A,4.8,4.1,0,01T6A,14767,6759,6241,13.7,67.7,18.6,42.9,2.3,2.8,44983,89041,8.9,11.9,13.5,8.1,8.8,68.2,62.5,8.3,0.937456567,0.132731063,0.062195969,0.108756081,0.674437299,0.325562701,0.076970067,4.03968254,0.850546352
2016,T6B,2,T6B,3.4,5.4,0,01T6B,9503,4257,4011,12.6,66.9,20.5,43.6,2.3,2.7,43846,89168,6.8,8.9,8.7,6.8,5.2,65.3,58.8,9.9,0.945048966,0.135473341,0.064744287,0.124047878,0.773399015,0.226600985,0.100864553,2.733333333,0.868843387
2016,T6C,2,T6C,5.6,5.6,101,01T6C,20587,10001,9287,13.2,70.9,15.9,39.4,2.1,2.7,45394,82109,8.9,11.3,10.2,8.1,10.6,72.9,66.9,8.3,0.92332996,0.145785877,0.063512146,0.137651822,0.572045332,0.427954668,0.074731627,5.237569061,0.811924258
2016,T6E,2,T6E,4.9,8.4,101,01T6E,22674,13932,12143,9.2,80,10.8,33.2,1.8,2.5,40940,66823,13.7,14.8,14.8,12.9,18.2,77.6,71.3,8.1,0.861179088,0.183537264,0.054949944,0.207610147,0.37489678,0.624690339,0.048156759,10.55172414,0.749214189
2016,T6G,2,T6G,12.1,5.9,1201,01T6G,12634,6636,5377,8.3,80.3,11.3,28.2,2.1,2.7,34801,67772,20.6,9.6,11.1,23.7,8.2,66.7,60.9,8.7,0.778649237,0.20130719,0.024836601,0.345098039,0.382488479,0.617511521,0.027287319,26.14705882,0.742317823
2016,T6H,2,T6H,3.9,5.2,1,01T6H,30171,13127,12287,16,70,14,35.1,2.4,2.9,41360,83508,12.6,17.2,20.8,12.4,6.6,70,63.9,8.7,0.827388964,0.245625841,0.036837679,0.306359354,0.505301794,0.494698206,0.047575758,10.43312102,0.800375043
2016,T6J,2,T6J,4,5.5,0,01T6J,47109,19266,18391,16.1,66.7,17.2,39.8,2.5,2.9,42056,87936,10.9,18.4,21,9.9,5.3,67,61.1,8.7,0.843608536,0.318064238,0.034274628,0.372170726,0.634955151,0.365044849,0.057160048,7.940350877,0.850712189
2016,T6K,2,T6K,3.7,6.8,1,01T6K,29838,10669,10349,21,66.1,12.8,36,2.8,3,37534,83108,14.4,26.3,28.5,11.1,6.7,67.9,60.6,10.8,0.841043891,0.326271186,0.055753262,0.408474576,0.666183575,0.333816425,0.117869524,1.919786096,0.852481539
2016,T6L,2,T6L,3.5,6,0,01T6L,51562,18415,17779,18.2,70.3,11.5,36.5,2.9,3,38178,91351,9.9,17,18.5,8,6.9,71.5,64.6,9.6,0.85609326,0.321904389,0.047217868,0.417319749,0.734533183,0.265466817,0.109841378,2.099378882,0.867234717
2016,T6M,2,T6M,3.5,4.2,0,01T6M,28187,10006,9445,20.8,69.3,9.9,36,2.9,3.1,53899,129128,4.7,6.4,5.7,4.2,3,75.9,71.3,6,0.908926961,0.314517583,0.031373963,0.34896303,0.89565678,0.10434322,0.049047173,8,0.859498077
2016,T6N,2,T6N,NA,NA,9999,01T6N,25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,T6P,2,T6P,4.4,7.4,101,01T6P,1798,884,846,12.5,70.8,16.7,48.2,2.1,2.5,37760,68267,12,18.5,20,11,8.3,64.9,58.6,9.2,0.977900552,0.077134986,0.085399449,0.055096419,0.86627907,0.127906977,0.198156682,0.209302326,0.891061453
2016,T6R,2,T6R,3.3,3.4,0,01T6R,45145,16082,15436,19.6,67.4,13,38.3,2.9,3.1,55538,135503,5.1,6.6,6.8,4.7,4.3,71.4,66.6,6.7,0.902477477,0.349211712,0.016779279,0.436085145,0.857374392,0.142625608,0.029352227,18.43448276,0.886205718
2016,T6S,2,T6S,20,12.6,2919,01T6S,96,54,40,10.5,78.9,10.5,31.6,2.1,2.6,NA,104704,NA,NA,NA,NA,NA,69.2,69.2,0,1,0,0,0,0.833333333,0,0,Inf,0.333333333
2016,T6T,2,T6T,3.4,5.3,0,01T6T,37150,11270,10919,23,70.5,6.5,32,3.4,3.2,39289,106116,6.5,9.3,9.7,5.4,6,76.2,69.5,8.8,0.79059078,0.473100838,0.025412274,0.654906732,0.834703196,0.165296804,0.094451004,3.5275,0.833677544
2016,T6V,2,T6V,2.8,3.5,0,01T6V,19927,6895,6621,22.7,70.6,6.7,33.5,3,3.2,46297,109764,6.6,9.7,9.9,5.5,5.3,76.1,70.8,6.9,0.900454775,0.341334007,0.025770591,0.492039424,0.838636364,0.162121212,0.104828186,2.605809129,0.852345552
2016,T6W,2,T6W,3,5.4,0,01T6W,50904,21001,18977,21.7,72.1,6.1,32.3,2.7,3,54130,112867,6,7.2,7.3,5.5,5.8,79,72.9,7.7,0.849689318,0.364766226,0.024856974,0.491418426,0.809636651,0.190100053,0.04165316,11.09727626,0.759231311
2016,T6X,2,T6X,2.9,5.2,0,01T6X,35649,12428,11747,24.7,71.7,3.6,31.2,3,3.1,49787,115279,5,6.9,6.3,4.2,5,82,75.3,8.2,0.826129804,0.411938617,0.025619369,0.558417793,0.821443827,0.17898334,0.063558339,6.178832117,0.780926352
2016,T7A,2,T7A,3.1,4.8,0,01T7A,11756,4872,4440,20.8,68.6,10.5,35.6,2.6,2.9,44622,99285,7.8,10.2,10.2,6.7,9.7,73.9,66,10.7,0.95468022,0.064830508,0.079203727,0.068220339,0.833519553,0.166480447,0.16324981,0.725581395,0.858798283
2016,T7E,2,T7E,3.1,8.6,1,01T7E,13989,6079,5426,19.7,68.9,11.4,37,2.5,2.9,45231,102819,7.4,8.8,9,6.3,11.5,73.8,66.1,10.4,0.960454046,0.069912152,0.106881406,0.056002928,0.761682243,0.238317757,0.180995475,0.671428571,0.846525455
2016,T7N,2,T7N,4.9,6.3,0,01T7N,7795,3256,3119,18.1,59.6,22.3,44.7,2.4,2.9,34793,70726,11,13.5,13.6,10.1,10.5,64.9,60.8,6.4,0.951120163,0.098371777,0.068567549,0.035980991,0.7808,0.2192,0.154471545,0.815789474,0.87037037
2016,T7P,2,T7P,5.9,7.1,0,01T7P,7536,3182,2950,18.1,57.4,24.4,44.4,2.4,2.8,32632,63744,13.2,15.7,18.2,10.9,16.3,63.1,58.4,7.5,0.9527897,0.077308518,0.075161059,0.058655222,0.703389831,0.296610169,0.163380282,0.844827586,0.886085076
2016,T7S,2,T7S,2.7,6.4,0,01T7S,12691,5171,4645,22.2,71.2,6.7,33.8,2.7,3,47600,110243,8.1,12.5,16.1,6.5,7.1,78.2,68.2,12.9,0.965544872,0.067307692,0.110532639,0.061674009,0.734341253,0.265658747,0.178596247,0.684824903,0.818403909
2016,T7V,2,T7V,2.9,4.9,0,01T7V,10575,4652,4197,19.3,69.8,10.9,37.7,2.5,2.9,45477,102284,6.7,10.3,12.1,5.6,6,73.5,68,7.3,0.94182165,0.092989986,0.1163567,0.087267525,0.74970344,0.25029656,0.152459016,0.967741935,0.864537978
2016,T7X,2,T7X,3.6,4.1,0,01T7X,44071,16767,15968,22.3,67.1,10.5,34.8,2.7,3,47827,107799,5.8,7.8,7.5,4.9,6.4,73.3,67.2,8.3,0.961713765,0.071558797,0.107907931,0.051162261,0.777604492,0.202744853,0.108451291,1.454894434,0.838448176
2016,T7Y,2,T7Y,2.7,5.2,0,01T7Y,6891,2495,2406,18.1,67.3,14.7,45.2,2.9,3,53456,140186,4.4,4.9,5.1,4.2,4.5,69.7,64,8,0.97596504,0.097596504,0.05826657,0.049526584,0.942917548,0.057082452,0.076215506,2.672413793,0.911160059
2016,T7Z,2,T7Z,4.1,6.7,0,01T7Z,26014,10269,9765,19.3,65.7,14.9,39.6,2.6,2.9,44288,101667,7.3,10.1,9.4,6,8,69.7,63.2,9.2,0.964144216,0.073479897,0.065557536,0.036838978,0.808226221,0.191773779,0.118353969,1.163076923,0.8636
2016,T8A,2,T8A,2.7,4,0,01T8A,43987,16225,16057,18.4,65.8,15.8,41.2,2.7,3,52125,123136,3.9,6,5.4,3.1,4,70.9,65.9,7,0.962020985,0.100034219,0.039689781,0.062271898,0.890479154,0.109209708,0.051182796,5.113445378,0.907825086
2016,T8B,2,T8B,3.3,9.2,1,01T8B,6440,2228,2156,15.9,68.7,15.3,46.2,3,3.1,56384,178586,3.4,3.1,0,3.3,4,66.4,63.7,3.9,0.962934363,0.148262548,0.037867079,0.142967543,0.951276102,0.046403712,0.048364154,7.529411765,0.920436817
2016,T8C,2,T8C,2.9,5.7,0,01T8C,4502,1575,1537,18,69,13.1,43.9,2.9,3,52928,144448,4,4.5,2,4,3.4,71.5,66.8,6.7,0.982222222,0.0756396,0.036666667,0.028921023,0.958199357,0.041800643,0.069860279,2.714285714,0.929943503
2016,T8E,2,T8E,2.6,6.3,0,01T8E,8104,2910,2825,19.3,68.7,12.1,42.6,2.9,3,51349,135485,4.9,6.1,6.7,4.4,5.6,71.4,66.7,6.6,0.982543641,0.065461347,0.052369077,0.023067332,0.946619217,0.051601423,0.082959641,2,0.918969849
2016,T8G,2,T8G,2.5,4.9,0,01T8G,4848,1881,1769,18.4,70.7,11,41.9,2.7,2.9,52992,126413,4.5,5.1,4.6,3.7,7.5,72.8,67.8,7,0.969409283,0.071729958,0.044303797,0.022151899,0.971346705,0.028653295,0.08419244,1.979591837,0.923159018
2016,T8H,2,T8H,3.8,4.3,0,01T8H,28688,10978,10710,20.9,67,12,36.3,2.6,3,55826,120683,3.9,5.2,4.3,3.5,3.7,75.7,71.1,6.1,0.939615248,0.117919487,0.036693979,0.107034728,0.844465203,0.155534797,0.054382598,4.876470588,0.838150289
2016,T8L,2,T8L,3.6,6.1,0,01T8L,26423,10797,10057,20,68.4,11.6,35.1,2.6,2.9,52285,117035,4.9,6.8,7.4,4.1,5.3,73.3,68.1,7.1,0.965271079,0.074667181,0.061740305,0.062897936,0.764793635,0.235206365,0.078290598,2.026200873,0.819409118
2016,T8N,2,T8N,3.2,4.2,0,01T8N,65527,24439,23947,18.6,66.1,15.3,40.7,2.7,3,52577,119918,4.3,6.2,6.5,3.8,3.5,72.2,67.4,6.6,0.955198385,0.116856899,0.043869866,0.089137355,0.844226352,0.155773648,0.056933888,5.236775819,0.883286208
2016,T8R,2,T8R,3.8,8,1,01T8R,15088,5488,5233,22.9,67.3,9.9,35.1,2.9,3,47370,110045,5,6.4,6.4,4.2,6.5,73.5,67.7,7.9,0.974077767,0.054817276,0.150166113,0.033554817,0.831749049,0.129277567,0.110447761,0.994594595,0.876476544
2016,T8S,2,T8S,4.4,6.8,1,01T8S,8007,3377,3007,22.2,67.7,10.1,33.9,2.6,3,47104,104672,8.5,13,15.3,6.5,8.8,76.3,70,8.2,0.937743191,0.104409857,0.16536965,0.100453662,0.663316583,0.338358459,0.159624413,1.294117647,0.831571995
2016,T8T,2,T8T,3.9,6.9,0,01T8T,7037,2500,2335,18.6,67,14.3,43.6,3,3.1,53677,149547,4.5,4.9,4.5,4.2,4.8,72,67.2,6.6,0.979335793,0.092250923,0.040620384,0.047232472,0.937634409,0.064516129,0.061983471,3.555555556,0.925074184
2016,T8V,2,T8V,5.6,6.9,101,01T8V,31893,14508,12865,18.4,71.4,10.2,33.3,2.4,2.8,42024,86386,9.8,14.8,14,8.2,10.3,76,67.4,11.3,0.921625544,0.120625706,0.124818578,0.137258065,0.537509667,0.462490333,0.170077434,0.882926829,0.755537326
2016,T8W,2,T8W,2.6,6.2,0,01T8W,21466,7796,7338,24.2,71.3,4.5,31.7,2.9,3.1,58504,135439,4.1,6.5,6.9,3.2,3.1,79.6,73.9,7.2,0.95840188,0.07520564,0.082726204,0.07520564,0.81874145,0.181942544,0.10805342,1.760299625,0.838038278
