year,geo_code,geo_level,FSA,GNR,GNR_LF,data_quality_flag,alt_geo_code,pop_2016,num_private_dwellings,num_dwellings_occupied,pct_age_0_14,pct_age_15_64,pct_age_64_plus,median_age,avg_household_size,avg_census_family_size,median_income_recipients,median_income_household,pct_LIM_AT,pct_LIM_AT_age_under18,pct_LIM_AT_age_under6,pct_LIM_AT_age_18_64,pct_LIM_AT_age_65_plus,pct_participation_rate,pct_employed,pct_unemployed,pct_cdn_citizens,pct_immigrants,pct_aboriginal,pct_visible_minority,pct_home_owners,pct_home_rent,pct_education_none,pct_education_uni_higher,pct_non_movers,donation,avg_donation
2016,G4A,2,G4A,3.1,1.9,00000,01G4A,3085,1481,1394,14.9,60.9,24,50,2.2,2.7,32256,55040,12.8,10,8.3,9.3,24.4,56.8,50.7,10.7,0.9983333333333333,0.011647254575707155,0.02329450915141431,0.0066555740432612314,0.6810035842293907,0.31899641577060933,0.1518987341772152,0.5625,0.8927973199329984,200,0.06482982171799027
2016,G4R,2,G4R,5.6,6.1,00000,01G4R,20973,9967,9027,18.8,64.8,16.4,41.5,2.3,2.9,36190,63396,11.6,10,11.1,9.9,20,62.8,56.3,10.4,0.9917315175097277,0.020666180403598345,0.21468514466326283,0.014834630350194552,0.5778393351800554,0.38227146814404434,0.21558796718322698,0.7822410147991543,0.8878252331860579,2700,0.12873694750393364
2016,G4S,2,G4S,3.8,6.3,00000,01G4S,5208,2278,2196,18.3,67.2,14.5,39.6,2.4,2.7,38733,75849,6.7,8.7,8.6,5.4,10,66.9,60.8,8.9,0.9940239043824701,0.009970089730807577,0.11166500498504486,0.00398406374501992,0.8706697459584296,0.12702078521939955,0.2014388489208633,0.36607142857142855,0.9109311740890689,0,0
2016,G4T,2,G4T,3.6,4.5,00000,01G4T,12475,6477,5534,11.3,64.6,24.2,52.1,2.2,2.6,31630,61243,11,5.4,4.8,6.7,26.1,62.2,54.7,12,0.9971287940935193,0.008613617719442166,0.01804757998359311,0.0036930652441526466,0.7624209575429087,0.23757904245709124,0.23495286439448876,0.5648148148148148,0.9334985543163982,900,0.07214428857715431
2016,G4V,2,G4V,3.6,5.0,00000,01G4V,6616,3457,3108,12.6,63.3,24.1,51.6,2.1,2.6,25362,45722,21.8,19,18.2,18.6,32.3,49.4,40,19,0.9976744186046511,0.011627906976744186,0.02868217054263566,0.006201550387596899,0.7009646302250804,0.2990353697749196,0.3062937062937063,0.3378995433789954,0.9017160686427457,500,0.07557436517533253
2016,G4W,2,G4W,5.0,4.4,00000,01G4W,14326,7427,6871,12.7,60.8,26.5,52.2,2,2.6,30307,48137,18,13.2,13.9,15.8,27.2,56.9,51.2,10.1,0.9901351845085861,0.01716581446311176,0.018998903909389842,0.014249177932042383,0.6378181818181818,0.3614545454545455,0.16359918200409,0.8583333333333333,0.9070536370315944,1400,0.09772441714365489
2016,G4X,2,G4X,3.3,3.4,00000,01G4X,14568,7074,6412,13.7,64.9,21.4,50,2.2,2.7,33116,59819,13,10.8,8.9,9.7,25.4,59.3,52.5,11.5,0.9911878745153331,0.01163200563976031,0.12759957701797672,0.01163200563976031,0.72564302416212,0.2735775526110678,0.18734335839598998,0.882943143812709,0.925728500355366,4400,0.30203185063152116
2016,G4Z,2,G4Z,3.4,5.6,00000,01G4Z,9859,4805,4425,15.6,67,17.5,45.8,2.2,2.7,40239,72624,6.6,5.2,3.3,5.5,13,61.8,57.6,6.9,0.9964556962025316,0.008105369807497468,0.025329280648429583,0.0070921985815602835,0.7312430011198209,0.26763717805151177,0.10982142857142857,1.8373983739837398,0.9186284544524054,700,0.07100111573181864
2016,G5A,2,G5A,3.3,5.2,00000,01G5A,8332,4636,3816,13.3,61.5,25.1,51.5,2.1,2.7,29687,54080,14.5,10.1,9.9,10.9,25.7,57.6,51.6,10.5,0.9933090024330901,0.012165450121654502,0.0340632603406326,0.005474452554744526,0.7208387942332897,0.2804718217562254,0.16972477064220184,0.7297297297297297,0.9233128834355828,1000,0.1200192030724916
2016,G5B,2,G5B,5.6,10.9,00011,01G5B,6294,2960,2688,16.6,67.4,15.9,42.6,2.2,2.8,39613,78165,8.4,8.3,6.6,7.5,12.6,60.9,54.3,10.6,0.99581589958159,0.010050251256281407,0.08458961474036851,0.002510460251046025,0.7142857142857143,0.2820037105751391,0.18910741301059,0.592,0.9205409974640744,1100,0.17476962186209088
